,Unnamed: 0,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
111,1561,43144,765.795,258.0336328197813,213.19014403076403,1.2103450372571924,0.563361258126006,43652,234.37714674868337,0.7522404714579628,0.9883625034362686,0.9244963873728942,0.90832014488739,0.0059807535884429,0.0025112587147453,0.8250454856082493,0.9985897090173952,SEKER
394,2156,56857,952.885,328.1323756555259,221.25678301795628,1.4830387171854345,0.7384655292062093,57866,269.0586939591567,0.7940478185576225,0.9825631631700826,0.7868878215869274,0.8199699691980871,0.0057711869366221,0.0016092988186785,0.6723507503867118,0.9971221943521734,BARBUNYA
478,372,35589,687.9229999999999,235.06390598553864,192.99444701585085,1.217982743131633,0.5708854877071733,35977,212.86926071553805,0.7799986849891511,0.989215332017678,0.9450308572639128,0.9055803774852358,0.0066049595657517,0.0027400465428412,0.8200758200863021,0.9988381969246376,SEKER
560,8551,43694,794.323,305.5499008693588,182.5072465829944,1.674179555004197,0.8020123151740822,44144,235.8663364443053,0.7995535060752452,0.9898060891627402,0.8702366957882085,0.7719404777197179,0.0069929487085036,0.0015317058211718,0.5958921011421462,0.997630372720674,SIRA
106,5409,91641,1147.6180000000002,448.7645627873682,261.33064232966905,1.7172290198607898,0.8129499891757395,92407,341.58592640662914,0.8091063198601472,0.9917105846959646,0.8743895947707314,0.7611695635791055,0.0048969845679048,0.0010139911266029,0.5793791045192057,0.9949266117813378,CALI
759,42,32066,669.313,236.4366550480214,173.23089931478256,1.36486421292766,0.6805801720019645,32481,202.0586529735307,0.780878628482369,0.9872232997752532,0.8994895693843451,0.8545995244793649,0.0073734377548812,0.0024260534698442,0.7303403472403568,0.9968154032055236,SEKER
536,1026,39245,713.9329999999999,242.41374740359117,206.4400701326894,1.1742572420547022,0.5241886745177649,39588,223.53587169206529,0.7791344054000398,0.9913357583105992,0.9675630702897794,0.9221253913454984,0.0061769333011489,0.0027549428730324,0.8503152373640884,0.9984888255042436,SEKER
940,12106,33015,679.242,250.32392250492023,168.55299733970963,1.4851348030341205,0.7393333824286956,33428,205.02683621768003,0.7025215448451962,0.9876450879502212,0.8992327210072469,0.819046114993864,0.0075821269878818,0.0021047680141592,0.670836538486542,0.9962826904533018,DERMASON
415,1539,42820,750.13,265.14226949645865,206.30572770792264,1.2851910242251434,0.6281473001458949,43166,233.4954331578236,0.802774653168354,0.9919844321920028,0.9562764438031044,0.8806420553058676,0.0061920193717061,0.0022972579068682,0.775530429573343,0.99670474710113,SEKER
82,6637,55241,929.292,377.9700179832831,187.11701689277447,2.019966031202149,0.8688600261234384,55812,265.20751439338045,0.7789199097574732,0.9897692252562174,0.8038351608519018,0.7016628350799773,0.0068422008649967,0.0010230326109857,0.4923307341324716,0.994491359064409,HOROZ
775,491,36311,689.155,240.15117170240404,192.6197446103851,1.2467630054653092,0.5972205601492435,36606,215.01767627076268,0.7831385066643661,0.9919412118231984,0.9607585337083412,0.8953430239233359,0.006613730596855,0.0026217065539582,0.8016391304881831,0.9994540116260444,SEKER
750,11829,31874,665.4630000000001,250.31418985630705,162.36108356108468,1.5417129792813435,0.7611045975084245,32199,201.4528164332496,0.7001273997276282,0.9899065188359888,0.9044792442669364,0.8047998259662934,0.007853240567745,0.0020322641649904,0.6477027598753763,0.998571751616215,DERMASON
1220,6336,52612,889.871,347.9376739206413,196.36836933454907,1.7718621135355384,0.8255164871232866,53606,258.81978078888477,0.6901744719926538,0.98145729955602,0.8349117400614208,0.7438682275260516,0.006613275943143,0.0012490517846276,0.5533399399227499,0.9804420754551512,HOROZ
874,7966,40987,749.125,272.5650427706523,192.2107189707184,1.4180532918779374,0.7090162769806471,41441,228.44314220405067,0.7087007642563198,0.9890446659105716,0.917798649615589,0.8381234067358826,0.0066500364205882,0.0020241172450725,0.7024508449185616,0.9961127330192048,SIRA
642,8602,43908,778.254,284.7971300848832,197.5478796181473,1.4416612855343494,0.7203177863233905,44347,236.44323193999764,0.808737935607456,0.9901007959952196,0.9109840990058996,0.8302163433652798,0.0064862241524296,0.0019008017791295,0.6892591767908163,0.9936782708785956,SIRA
632,10829,28018,621.239,229.9203224301027,155.46537343510562,1.4789166059931411,0.7367450404391359,28342,188.87462922369903,0.796305243711809,0.9885682026674194,0.9122829769352632,0.8214786201907758,0.0082061646951996,0.0023051811068778,0.6748271234305411,0.9980130390160102,DERMASON
664,4590,73528,1066.558,420.32363018137465,223.07567621975343,1.8842199082579976,0.8475449516916405,74286,305.9718242670181,0.7983582883636087,0.9897961930915652,0.8122573724855372,0.7279434281032157,0.0057165111274803,0.0009901507806084,0.5299016345186617,0.9984512091785156,CALI
